228,None,ITA,Gold,Rowing Men's Coxed Pairs,Rowing,1988 Summer,1988,Summer,Seoul
229,None,ITA,Silver,Rowing Men's Coxed Pairs,Rowing,1992 Summer,1992,Summer,Barcelona
269,None,GRE,Bronze,Football Men's Football,Football,1906 Summer,1906,Summer,Athina
275,None,AUS,Bronze,Hockey Men's Hockey,Hockey,2008 Summer,2008,Summer,Beijing
279,None,USA,Bronze,Figure Skating Mixed Team,Figure Skating,2014 Winter,2014,Winter,Sochi
284,None,USA,Gold,Golf Women's Individual,Golf,1900 Summer,1900,Summer,Paris
287,None,USA,Silver,Softball Women's Softball,Softball,2008 Summer,2008,Summer,Beijing
312,None,USA,Silver,Taekwondo Women's Featherweight,Taekwondo,2004 Summer,2004,Summer,Athina
451,None,IRI,Bronze,Wrestling Men's Middleweight Greco-Roman,Wrestling,2016 Summer,2016,Summer,Rio de Janeiro
477,None,CAN,Bronze,Swimming Women's 4 x 100 metres Medley Relay,Swimming,1984 Summer,1984,Summer,Los Angeles
525,None,PAK,Gold,Hockey Men's Hockey,Hockey,1960 Summer,1960,Summer,Roma
526,None,PAK,Silver,Hockey Men's Hockey,Hockey,1964 Summer,1964,Summer,Tokyo
551,None,URS,Gold,Wrestling Men's Featherweight Freestyle,Wrestling,1972 Summer,1972,Summer,Munich
588,None,UZB,Gold,Boxing Men's Light-Welterweight,Boxing,2000 Summer,2000,Summer,Sydney
591,None,AZE,Silver,Wrestling Men's Flyweight Freestyle,Wrestling,1996 Summer,1996,Summer,Atlanta
592,None,AZE,Gold,Wrestling Men's Bantamweight Freestyle,Wrestling,2000 Summer,2000,Summer,Sydney
610,None,USA,Gold,Basketball Men's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
618,None,TJK,Silver,Wrestling Men's Light-Heavyweight Freestyle,Wrestling,2008 Summer,2008,Summer,Beijing
621,None,EUN,Gold,Athletics Men's Hammer Throw,Athletics,1992 Summer,1992,Summer,Barcelona
637,None,JPN,Gold,Nordic Combined Men's Team,Nordic Combined,1994 Winter,1994,Winter,Lillehammer
656,None,ETH,Bronze,Athletics Men's 10000 metres,Athletics,1992 Summer,1992,Summer,Barcelona
664,None,SUI,Silver,Football Men's Football,Football,1924 Summer,1924,Summer,Paris
673,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1924 Winter,1924,Winter,Chamonix
674,None,CAN,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1952 Winter,1952,Winter,Oslo
678,None,GDR,Silver,Gymnastics Women's Team All-Around,Gymnastics,1972 Summer,1972,Summer,Munich
685,None,CAN,Bronze,Diving Women's Synchronized Springboard,Diving,2012 Summer,2012,Summer,London
701,None,NOR,Silver,Sailing Mixed 7 metres,Sailing,1920 Summer,1920,Summer,Antwerpen
703,None,ESP,Gold,Football Men's Football,Football,1992 Summer,1992,Summer,Barcelona
711,None,USA,Gold,Rowing Men's Coxed Eights,Rowing,1900 Summer,1900,Summer,Paris
712,None,USA,Gold,Rowing Men's Coxed Eights,Rowing,1904 Summer,1904,Summer,St. Louis
721,None,ETH,Gold,Athletics Men's Marathon,Athletics,2000 Summer,2000,Summer,Sydney
728,None,SWE,Bronze,Athletics Men's Long Jump,Athletics,1912 Summer,1912,Summer,Stockholm
729,None,SWE,Silver,Athletics Men's Triple Jump,Athletics,1912 Summer,1912,Summer,Stockholm
740,None,USA,Gold,Baseball Men's Baseball,Baseball,2000 Summer,2000,Summer,Sydney
741,None,RSA,Bronze,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1956 Summer,1956,Summer,Melbourne
748,None,TUR,Silver,Athletics Women's 5000 metres,Athletics,2008 Summer,2008,Summer,Beijing
772,None,BUL,Gold,Wrestling Men's Middleweight Freestyle,Wrestling,1980 Summer,1980,Summer,Moskva
788,None,USA,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1932 Summer,1932,Summer,Los Angeles
790,None,RUS,Bronze,Gymnastics Men's Floor Exercise,Gymnastics,2012 Summer,2012,Summer,London
791,None,RUS,Silver,Gymnastics Men's Horse Vault,Gymnastics,2012 Summer,2012,Summer,London
795,None,RUS,Silver,Gymnastics Men's Team All-Around,Gymnastics,2016 Summer,2016,Summer,Rio de Janeiro
797,None,RUS,Silver,Gymnastics Men's Horse Vault,Gymnastics,2016 Summer,2016,Summer,Rio de Janeiro
798,None,RUS,Bronze,Gymnastics Men's Rings,Gymnastics,2016 Summer,2016,Summer,Rio de Janeiro
804,None,URS,Silver,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1972 Summer,1972,Summer,Munich
805,None,URS,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1972 Summer,1972,Summer,Munich
815,None,AUS,Bronze,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
862,None,EGY,Silver,Fencing Men's Foil Individual,Fencing,2012 Summer,2012,Summer,London
885,None,HUN,Bronze,Canoeing Men's Kayak Doubles 500 metres,Canoeing,1988 Summer,1988,Summer,Seoul
886,None,HUN,Gold,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1988 Summer,1988,Summer,Seoul
887,None,HUN,Silver,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1992 Summer,1992,Summer,Barcelona
893,None,GBR,Bronze,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1980 Summer,1980,Summer,Moskva
904,None,SWE,Silver,Wrestling Men's Light-Heavyweight Greco-Roman,Wrestling,2004 Summer,2004,Summer,Athina
916,None,GBR,Gold,Athletics Men's 100 metres,Athletics,1924 Summer,1924,Summer,Paris
918,None,GBR,Silver,Athletics Men's 4 x 100 metres Relay,Athletics,1924 Summer,1924,Summer,Paris
922,None,NOR,Gold,Gymnastics Men's Team All-Around Free System,Gymnastics,1912 Summer,1912,Summer,Stockholm
930,None,SWE,Bronze,Athletics Men's Long Jump,Athletics,1920 Summer,1920,Summer,Antwerpen
936,None,SWE,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1928 Winter,1928,Winter,Sankt Moritz
967,None,RUS,Bronze,Volleyball Men's Volleyball,Volleyball,2004 Summer,2004,Summer,Athina
972,None,URS,Silver,Volleyball Women's Volleyball,Volleyball,1964 Summer,1964,Summer,Tokyo
975,None,RUS,Bronze,Speed Skating Women's Team Pursuit (6 laps),Speed Skating,2006 Winter,2006,Winter,Torino
1030,None,ESP,Bronze,Basketball Men's Basketball,Basketball,2016 Summer,2016,Summer,Rio de Janeiro
1036,None,RUS,Bronze,Basketball Women's Basketball,Basketball,2008 Summer,2008,Summer,Beijing
1044,None,URS,Gold,Wrestling Men's Lightweight Freestyle,Wrestling,1980 Summer,1980,Summer,Moskva
1045,None,FRA,Gold,Cycling Men's Mountainbike Cross-Country,Cycling,2004 Summer,2004,Summer,Athina
1046,None,FRA,Gold,Cycling Men's Mountainbike Cross-Country,Cycling,2008 Summer,2008,Summer,Beijing
1081,None,JOR,Gold,Taekwondo Men's Featherweight,Taekwondo,2016 Summer,2016,Summer,Rio de Janeiro
1090,None,JPN,Bronze,Gymnastics Women's Team All-Around,Gymnastics,1964 Summer,1964,Summer,Tokyo
1106,None,URS,Bronze,Fencing Men's epee Team,Fencing,1980 Summer,1980,Summer,Moskva
1107,None,URS,Gold,Wrestling Men's Featherweight Freestyle,Wrestling,1980 Summer,1980,Summer,Moskva
1122,None,ROU,Bronze,Gymnastics Women's Team All-Around,Gymnastics,2008 Summer,2008,Summer,Beijing
1127,None,FRA,Gold,Handball Men's Handball,Handball,2012 Summer,2012,Summer,London
1134,None,SUI,Bronze,Alpine Skiing Men's Combined,Alpine Skiing,1988 Winter,1988,Winter,Calgary
1155,None,ESP,Silver,Football Men's Football,Football,1920 Summer,1920,Summer,Antwerpen
1163,None,PUR,Bronze,Boxing Men's Welterweight,Boxing,1992 Summer,1992,Summer,Barcelona
1174,None,MEX,Silver,Wrestling Men's Flyweight Greco-Roman,Wrestling,1984 Summer,1984,Summer,Los Angeles
1192,None,GHA,Bronze,Football Men's Football,Football,1992 Summer,1992,Summer,Barcelona
1193,None,SUI,Silver,Cycling Men's 100 kilometres Team Time Trial,Cycling,1984 Summer,1984,Summer,Los Angeles
1197,None,MAR,Bronze,Boxing Men's Featherweight,Boxing,1988 Summer,1988,Summer,Seoul
1199,None,MAR,Bronze,Boxing Men's Bantamweight,Boxing,1992 Summer,1992,Summer,Barcelona
1211,None,URS,Bronze,Cross Country Skiing Women's 3 x 5 kilometres Relay,Cross Country Skiing,1968 Winter,1968,Winter,Grenoble
1228,None,NED,Bronze,Rowing Women's Coxed Eights,Rowing,2012 Summer,2012,Summer,London
1229,None,NED,Silver,Rowing Women's Quadruple Sculls,Rowing,2016 Summer,2016,Summer,Rio de Janeiro
1238,None,SWE,Gold,Gymnastics Men's Team All-Around Swedish System,Gymnastics,1920 Summer,1920,Summer,Antwerpen
1239,None,NZL,Gold,Hockey Men's Hockey,Hockey,1976 Summer,1976,Summer,Montreal
1240,None,USA,Gold,Wrestling Men's Featherweight Freestyle,Wrestling,1920 Summer,1920,Summer,Antwerpen
1245,None,GER,Silver,Nordic Combined Men's Team,Nordic Combined,2002 Winter,2002,Winter,Salt Lake City
1247,None,GER,Silver,Nordic Combined Men's Sprint,Nordic Combined,2002 Winter,2002,Winter,Salt Lake City
1248,None,GER,Silver,Nordic Combined Men's Team,Nordic Combined,2006 Winter,2006,Winter,Torino
1255,None,SUI,Gold,Bobsleigh Men's Two,Bobsleigh,1992 Winter,1992,Winter,Albertville
1256,None,SUI,Bronze,Bobsleigh Men's Four,Bobsleigh,1992 Winter,1992,Winter,Albertville
1257,None,SUI,Gold,Bobsleigh Men's Two,Bobsleigh,1994 Winter,1994,Winter,Lillehammer
1258,None,SUI,Silver,Bobsleigh Men's Four,Bobsleigh,1994 Winter,1994,Winter,Lillehammer
1259,None,SUI,Silver,Bobsleigh Men's Two,Bobsleigh,1994 Winter,1994,Winter,Lillehammer
1277,None,ARG,Gold,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
1289,None,CUB,Bronze,Boxing Men's Heavyweight,Boxing,2008 Summer,2008,Summer,Beijing
1294,None,URU,Bronze,Basketball Men's Basketball,Basketball,1952 Summer,1952,Summer,Helsinki
1326,None,POL,Bronze,Boxing Men's Lightweight,Boxing,1980 Summer,1980,Summer,Moskva
1346,None,USA,Gold,Rowing Men's Coxed Eights,Rowing,1936 Summer,1936,Summer,Berlin
1353,None,TCH,Silver,Modern Pentathlon Men's Team,Modern Pentathlon,1976 Summer,1976,Summer,Montreal
1367,None,CAN,Gold,Curling Men's Curling,Curling,2006 Winter,2006,Winter,Torino
1374,None,GER,Bronze,Fencing Men's Foil Team,Fencing,1936 Summer,1936,Summer,Berlin
1376,None,FRA,Gold,Cycling Men's Team Pursuit 4000 metres,Cycling,1948 Summer,1948,Summer,London
1389,None,POL,Silver,Football Men's Football,Football,1992 Summer,1992,Summer,Barcelona
1451,None,USA,Silver,Athletics Men's Standing High Jump,Athletics,1912 Summer,1912,Summer,Stockholm
1452,None,USA,Bronze,Athletics Men's Standing Long Jump,Athletics,1912 Summer,1912,Summer,Stockholm
1463,None,USA,Silver,Swimming Men's Plunge For Distance,Swimming,1904 Summer,1904,Summer,St. Louis
1473,None,USA,Gold,Shooting Men's Military Rifle 200 400 500 and 600 metres Team,Shooting,1912 Summer,1912,Summer,Stockholm
1491,None,GBR,Silver,Judo Men's Lightweight,Judo,1980 Summer,1980,Summer,Moskva
1492,None,GBR,Silver,Judo Men's Half-Middleweight,Judo,1984 Summer,1984,Summer,Los Angeles
1495,None,GBR,Gold,Boxing Women's Flyweight,Boxing,2012 Summer,2012,Summer,London
1496,None,GBR,Gold,Boxing Women's Flyweight,Boxing,2016 Summer,2016,Summer,Rio de Janeiro
1512,None,USA,Gold,Athletics Men's Standing High Jump,Athletics,1912 Summer,1912,Summer,Stockholm
1513,None,USA,Silver,Athletics Men's Standing Long Jump,Athletics,1912 Summer,1912,Summer,Stockholm
1515,None,USA,Bronze,Volleyball Women's Volleyball,Volleyball,2016 Summer,2016,Summer,Rio de Janeiro
1520,None,GBR,Bronze,Curling Women's Curling,Curling,2014 Winter,2014,Winter,Sochi
1528,None,NZL,Gold,Athletics Women's Shot Put,Athletics,2008 Summer,2008,Summer,Beijing
1529,None,NZL,Gold,Athletics Women's Shot Put,Athletics,2012 Summer,2012,Summer,London
1530,None,NZL,Silver,Athletics Women's Shot Put,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
1534,None,GER,Gold,Rowing Men's Coxed Eights,Rowing,2012 Summer,2012,Summer,London
1535,None,GER,Gold,Rowing Men's Coxed Pairs,Rowing,1936 Summer,1936,Summer,Berlin
1536,None,POL,Silver,Boxing Men's Featherweight,Boxing,1960 Summer,1960,Summer,Roma
1580,None,GHA,Bronze,Football Men's Football,Football,1992 Summer,1992,Summer,Barcelona
1584,None,SUI,Bronze,Shooting Men's Military Rifle 300 metres and 600 metres Prone Team,Shooting,1920 Summer,1920,Summer,Antwerpen
1618,None,NGR,Silver,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
1638,None,NGR,Silver,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
1652,None,BRA,Silver,Football Men's Football,Football,1984 Summer,1984,Summer,Los Angeles
1653,None,BRA,Silver,Football Men's Football,Football,1988 Summer,1988,Summer,Seoul
1666,None,NGR,Silver,Athletics Men's 4 x 100 metres Relay,Athletics,1992 Summer,1992,Summer,Barcelona
1669,None,BRA,Gold,Volleyball Women's Volleyball,Volleyball,2012 Summer,2012,Summer,London
1713,None,FRA,Bronze,Canoeing Men's Canadian Doubles Slalom,Canoeing,1992 Summer,1992,Summer,Barcelona
1714,None,FRA,Gold,Canoeing Men's Canadian Doubles Slalom,Canoeing,1996 Summer,1996,Summer,Atlanta
1721,None,GER,Silver,Bobsleigh Men's Two,Bobsleigh,2010 Winter,2010,Winter,Vancouver
1723,None,GHA,Bronze,Football Men's Football,Football,1992 Summer,1992,Summer,Barcelona
1728,None,USA,Gold,Boxing Men's Light-Welterweight,Boxing,1952 Summer,1952,Summer,Helsinki
1729,None,USA,Gold,Athletics Men's 400 metres Hurdles,Athletics,1996 Summer,1996,Summer,Atlanta
1730,None,GBR,Silver,Hockey Men's Hockey,Hockey,1948 Summer,1948,Summer,London
1734,None,BRA,Silver,Sailing Mixed Three Person Keelboat,Sailing,1984 Summer,1984,Summer,Los Angeles
1738,None,GER,Silver,Cycling Men's 100 kilometres Team Time Trial,Cycling,1960 Summer,1960,Summer,Roma
1740,None,AUT,Bronze,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1912 Summer,1912,Summer,Stockholm
1753,None,SWE,Bronze,Equestrianism Men's Dressage Team,Equestrianism,1936 Summer,1936,Summer,Berlin
1756,None,SWE,Gold,Equestrianism Men's Three-Day Event Team,Equestrianism,1912 Summer,1912,Summer,Stockholm
1757,None,SWE,Bronze,Tennis Women's Singles Covered Courts,Tennis,1908 Summer,1908,Summer,London
1763,None,SWE,Gold,Diving Men's Platform,Diving,1912 Summer,1912,Summer,Stockholm
1764,None,SWE,Gold,Diving Men's Plain High,Diving,1912 Summer,1912,Summer,Stockholm
1765,None,SWE,Silver,Diving Men's Platform,Diving,1920 Summer,1920,Summer,Antwerpen
1773,None,GBR,Gold,Swimming Women's 400 metres Freestyle,Swimming,2008 Summer,2008,Summer,Beijing
1774,None,GBR,Gold,Swimming Women's 800 metres Freestyle,Swimming,2008 Summer,2008,Summer,Beijing
1775,None,GBR,Bronze,Swimming Women's 400 metres Freestyle,Swimming,2012 Summer,2012,Summer,London
1776,None,GBR,Bronze,Swimming Women's 800 metres Freestyle,Swimming,2012 Summer,2012,Summer,London
1808,None,LTU,Bronze,Basketball Men's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
1844,None,USA,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2008 Summer,2008,Summer,Beijing
1845,None,USA,Gold,Swimming Men's 100 metres Freestyle,Swimming,2012 Summer,2012,Summer,London
1846,None,USA,Silver,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2012 Summer,2012,Summer,London
1847,None,USA,Gold,Swimming Men's 4 x 100 metres Medley Relay,Swimming,2012 Summer,2012,Summer,London
1848,None,USA,Bronze,Swimming Men's 50 metres Freestyle,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
1849,None,USA,Bronze,Swimming Men's 100 metres Freestyle,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
1850,None,USA,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
1851,None,USA,Gold,Swimming Men's 4 x 100 metres Medley Relay,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
1857,None,BRA,Silver,Basketball Women's Basketball,Basketball,1996 Summer,1996,Summer,Atlanta
1858,None,BRA,Bronze,Basketball Women's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
1864,None,BRA,Bronze,Basketball Women's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
1873,None,HUN,Silver,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1996 Summer,1996,Summer,Atlanta
1900,None,GER,Silver,Rowing Men's Coxed Eights,Rowing,1964 Summer,1964,Summer,Tokyo
1943,None,RUS,Silver,Gymnastics Women's Team All-Around,Gymnastics,2012 Summer,2012,Summer,London
1963,None,RUS,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,2002 Winter,2002,Winter,Salt Lake City
1969,None,NGR,Silver,Athletics Women's 4 x 400 metres Relay,Athletics,1996 Summer,1996,Summer,Atlanta
1977,None,ROU,Bronze,Rowing Women's Coxed Quadruple Sculls,Rowing,1976 Summer,1976,Summer,Montreal
1978,None,RSA,Bronze,Rugby Sevens Men's Rugby Sevens,Rugby Sevens,2016 Summer,2016,Summer,Rio de Janeiro
1998,None,PAK,Silver,Hockey Men's Hockey,Hockey,1964 Summer,1964,Summer,Tokyo
2003,None,RSA,Bronze,Rugby Sevens Men's Rugby Sevens,Rugby Sevens,2016 Summer,2016,Summer,Rio de Janeiro
2006,None,ROU,Gold,Gymnastics Women's Team All-Around,Gymnastics,1984 Summer,1984,Summer,Los Angeles
2008,None,ROU,Bronze,Gymnastics Women's Horse Vault,Gymnastics,1984 Summer,1984,Summer,Los Angeles
2017,None,ITA,Bronze,Rowing Men's Coxless Fours,Rowing,2004 Summer,2004,Summer,Athina
2018,None,ITA,Silver,Rowing Men's Quadruple Sculls,Rowing,2008 Summer,2008,Summer,Beijing
2032,None,USA,Gold,Tennis Men's Singles,Tennis,1996 Summer,1996,Summer,Atlanta
2045,None,FRA,Silver,Judo Women's Half-Middleweight,Judo,2016 Summer,2016,Summer,Rio de Janeiro
2063,None,NOR,Bronze,Sailing Mixed 6 metres,Sailing,1920 Summer,1920,Summer,Antwerpen
2066,None,URS,Bronze,Water Polo Men's Water Polo,Water Polo,1956 Summer,1956,Summer,Melbourne
2067,None,URS,Silver,Water Polo Men's Water Polo,Water Polo,1960 Summer,1960,Summer,Roma
2068,None,URS,Bronze,Water Polo Men's Water Polo,Water Polo,1964 Summer,1964,Summer,Tokyo
2100,None,NED,Gold,Hockey Women's Hockey,Hockey,2008 Summer,2008,Summer,Beijing
2101,None,NED,Gold,Hockey Women's Hockey,Hockey,2012 Summer,2012,Summer,London
2111,None,FRA,Gold,Swimming Men's 200 metres Freestyle,Swimming,2012 Summer,2012,Summer,London
2112,None,FRA,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2012 Summer,2012,Summer,London
2113,None,FRA,Silver,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,2012 Summer,2012,Summer,London
2127,None,CAN,Gold,Ice Hockey Women's Ice Hockey,Ice Hockey,2006 Winter,2006,Winter,Torino
2128,None,CAN,Gold,Ice Hockey Women's Ice Hockey,Ice Hockey,2010 Winter,2010,Winter,Vancouver
2129,None,CAN,Gold,Ice Hockey Women's Ice Hockey,Ice Hockey,2014 Winter,2014,Winter,Sochi
2139,None,USA,Silver,Figure Skating Mixed Ice Dancing,Figure Skating,2006 Winter,2006,Winter,Torino
2144,None,HUN,Gold,Fencing Women's Foil Team,Fencing,1964 Summer,1964,Summer,Tokyo
2145,None,ITA,Gold,Fencing Men's epee Team,Fencing,1928 Summer,1928,Summer,Amsterdam
2146,None,ITA,Bronze,Fencing Men's epee Individual,Fencing,1932 Summer,1932,Summer,Los Angeles
2147,None,ITA,Silver,Fencing Men's epee Team,Fencing,1932 Summer,1932,Summer,Los Angeles
2149,None,ITA,Silver,Fencing Men's epee Team,Fencing,1948 Summer,1948,Summer,London
2160,None,SWE,Bronze,Boxing Men's Lightweight,Boxing,1936 Summer,1936,Summer,Berlin
2171,None,GRE,Gold,Rowing Men's 17-Man Naval Rowing Boats,Rowing,1906 Summer,1906,Summer,Athina
2174,None,NED,Gold,Gymnastics Women's Team All-Around,Gymnastics,1928 Summer,1928,Summer,Amsterdam
2184,None,ARG,Gold,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
2185,None,CUB,Gold,Volleyball Women's Volleyball,Volleyball,2000 Summer,2000,Summer,Sydney
2257,None,CUB,Bronze,Boxing Men's Light-Welterweight,Boxing,1980 Summer,1980,Summer,Moskva
2264,None,ESP,Bronze,Handball Women's Handball,Handball,2012 Summer,2012,Summer,London
2281,None,ESP,Silver,Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics,2016 Summer,2016,Summer,Rio de Janeiro
2289,None,CUB,Bronze,Athletics Men's 4 x 100 metres Relay,Athletics,1992 Summer,1992,Summer,Barcelona
2332,None,INA,Silver,Weightlifting Women's Flyweight,Weightlifting,2016 Summer,2016,Summer,Rio de Janeiro
2353,None,USA,Silver,Volleyball Women's Volleyball,Volleyball,2008 Summer,2008,Summer,Beijing
2364,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1972 Winter,1972,Winter,Sapporo
2368,None,GBR,Gold,Athletics Men's Triple Jump,Athletics,1908 Summer,1908,Summer,London
2387,None,FIN,Bronze,Boxing Men's Welterweight,Boxing,1932 Summer,1932,Summer,Los Angeles
