52362,None,FRA,Bronze,Weightlifting Men's Middle-Heavyweight,Weightlifting,1956 Summer,1956,Summer,Melbourne
52364,None,FRA,Bronze,Handball Men's Handball,Handball,1992 Summer,1992,Summer,Barcelona
52368,None,BEL,Gold,Swimming Men's 100 metres Breaststroke,Swimming,1996 Summer,1996,Summer,Atlanta
52371,None,FRA,Gold,Cycling Men's Team Pursuit 4000 metres,Cycling,1948 Summer,1948,Summer,London
52372,None,FRA,Gold,Art Competitions Mixed Painting Graphic Arts,Art Competitions,1948 Summer,1948,Summer,London
52374,None,FRA,Silver,Sailing Mixed 10-20 Ton,Sailing,1900 Summer,1900,Summer,Paris
52397,None,GDR,Gold,Rowing Men's Coxless Fours,Rowing,1976 Summer,1976,Summer,Montreal
52398,None,GDR,Gold,Rowing Men's Coxless Fours,Rowing,1980 Summer,1980,Summer,Moskva
52400,None,USA,Silver,Ice Hockey Women's Ice Hockey,Ice Hockey,2014 Winter,2014,Winter,Sochi
52415,None,GDR,Silver,Ski Jumping Men's Normal Hill Individual,Ski Jumping,1980 Winter,1980,Winter,Lake Placid
52425,None,FRA,Silver,Judo Women's Half-Middleweight,Judo,2008 Summer,2008,Summer,Beijing
52426,None,FRA,Gold,Judo Women's Middleweight,Judo,2012 Summer,2012,Summer,London
52427,None,USA,Gold,Ice Hockey Women's Ice Hockey,Ice Hockey,1998 Winter,1998,Winter,Nagano
52428,None,USA,Silver,Ice Hockey Women's Ice Hockey,Ice Hockey,2002 Winter,2002,Winter,Salt Lake City
52429,None,FRA,Gold,Weightlifting Men's Lightweight,Weightlifting,1924 Summer,1924,Summer,Paris
52450,None,FRA,Gold,Tennis Mixed Doubles,Tennis,1906 Summer,1906,Summer,Athina
52451,None,FRA,Silver,Tennis Men's Doubles,Tennis,1900 Summer,1900,Summer,Paris
52452,None,FRA,Gold,Tennis Men's Singles,Tennis,1906 Summer,1906,Summer,Athina
52453,None,FRA,Gold,Tennis Mixed Doubles,Tennis,1906 Summer,1906,Summer,Athina
52454,None,FRA,Gold,Tennis Men's Doubles,Tennis,1906 Summer,1906,Summer,Athina
52456,None,FRA,Gold,Tennis Mixed Doubles,Tennis,1920 Summer,1920,Summer,Antwerpen
52457,None,FRA,Bronze,Tennis Men's Doubles,Tennis,1920 Summer,1920,Summer,Antwerpen
52460,None,FRA,Bronze,Water Polo Men's Water Polo,Water Polo,1900 Summer,1900,Summer,Paris
52472,None,FRA,Bronze,Synchronized Swimming Women's Duet,Synchronized Swimming,2000 Summer,2000,Summer,Sydney
52482,None,USA,Gold,Basketball Men's Basketball,Basketball,1968 Summer,1968,Summer,Mexico City
52483,None,GER,Gold,Hockey Men's Hockey,Hockey,2012 Summer,2012,Summer,London
52494,None,USA,Silver,Athletics Men's 110 metres Hurdles,Athletics,1992 Summer,1992,Summer,Barcelona
52514,None,SUI,Gold,Alpine Skiing Men's Downhill,Alpine Skiing,2010 Winter,2010,Winter,Vancouver
52520,None,ETH,Gold,Athletics Women's 5000 metres,Athletics,2004 Summer,2004,Summer,Athina
52521,None,ETH,Bronze,Athletics Women's 5000 metres,Athletics,2008 Summer,2008,Summer,Beijing
52522,None,ETH,Gold,Athletics Women's 5000 metres,Athletics,2012 Summer,2012,Summer,London
52528,None,ESP,Gold,Gymnastics Men's Horse Vault,Gymnastics,2000 Summer,2000,Summer,Sydney
52532,None,ESP,Gold,Gymnastics Men's Horse Vault,Gymnastics,2004 Summer,2004,Summer,Athina
52535,None,ESP,Silver,Gymnastics Men's Floor Exercise,Gymnastics,2008 Summer,2008,Summer,Beijing
52540,None,CAN,Silver,Boxing Men's Heavyweight,Boxing,1996 Summer,1996,Summer,Atlanta
52554,None,FRA,Bronze,Sailing Women's Two Person Dinghy,Sailing,2016 Summer,2016,Summer,Rio de Janeiro
52555,None,USA,Bronze,Rowing Women's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
52559,None,FRA,Bronze,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon,2002 Winter,2002,Winter,Salt Lake City
52561,None,FRA,Gold,Biathlon Men's 12.5 kilometres Pursuit,Biathlon,2006 Winter,2006,Winter,Torino
52564,None,FRA,Bronze,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon,2006 Winter,2006,Winter,Torino
52572,None,GBR,Gold,Boxing Men's Middleweight,Boxing,2008 Summer,2008,Summer,Beijing
52584,None,USA,Bronze,Diving Men's Springboard,Diving,1932 Summer,1932,Summer,Los Angeles
52585,None,USA,Gold,Diving Men's Springboard,Diving,1936 Summer,1936,Summer,Berlin
52592,None,SWE,Gold,Gymnastics Men's Team All-Around,Gymnastics,1908 Summer,1908,Summer,London
52596,None,FRA,Gold,Wrestling Men's Heavyweight Greco-Roman,Wrestling,1924 Summer,1924,Summer,Paris
52604,None,DEN,Silver,Sailing Mixed 6 metres,Sailing,1924 Summer,1924,Summer,Paris
52624,None,USA,Gold,Rugby Men's Rugby,Rugby,1924 Summer,1924,Summer,Paris
52629,None,URS,Gold,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1976 Summer,1976,Summer,Montreal
52655,None,GER,Bronze,Rowing Men's Coxed Eights,Rowing,1912 Summer,1912,Summer,Stockholm
52662,None,BEL,Bronze,Gymnastics Men's Team All-Around Swedish System,Gymnastics,1920 Summer,1920,Summer,Antwerpen
52666,None,ITA,Silver,Rowing Men's Coxless Fours,Rowing,2000 Summer,2000,Summer,Sydney
52680,None,USA,Bronze,Snowboarding Men's Boardercross,Snowboarding,2014 Winter,2014,Winter,Sochi
52692,None,FRG,Silver,Hockey Women's Hockey,Hockey,1984 Summer,1984,Summer,Los Angeles
52697,None,NED,Bronze,Hockey Women's Hockey,Hockey,2000 Summer,2000,Summer,Sydney
52709,None,TCH,Silver,Gymnastics Women's Team All-Around,Gymnastics,1936 Summer,1936,Summer,Berlin
52711,None,GRE,Silver,Rowing Men's 6-Man Naval Rowing Boats,Rowing,1906 Summer,1906,Summer,Athina
52731,None,NED,Silver,Cycling Men's Road Race Individual,Cycling,1992 Summer,1992,Summer,Barcelona
52739,None,NED,Silver,Rowing Women's Coxed Eights,Rowing,2008 Summer,2008,Summer,Beijing
52743,None,NED,Bronze,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,2004 Summer,2004,Summer,Athina
52745,None,NED,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,2008 Summer,2008,Summer,Beijing
52748,None,NED,Silver,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,2012 Summer,2012,Summer,London
52763,None,NED,Bronze,Rowing Women's Coxed Eights,Rowing,2004 Summer,2004,Summer,Athina
52778,None,ITA,Silver,Rowing Men's Coxed Eights,Rowing,1932 Summer,1932,Summer,Los Angeles
52779,None,ITA,Silver,Rowing Men's Coxed Eights,Rowing,1936 Summer,1936,Summer,Berlin
52814,None,ESP,Bronze,Hockey Men's Hockey,Hockey,1960 Summer,1960,Summer,Roma
52818,None,ITA,Silver,Water Polo Men's Water Polo,Water Polo,1976 Summer,1976,Summer,Montreal
52826,None,ITA,Bronze,Water Polo Men's Water Polo,Water Polo,2016 Summer,2016,Summer,Rio de Janeiro
52832,None,ITA,Bronze,Football Men's Football,Football,2004 Summer,2004,Summer,Athina
52836,None,ARG,Bronze,Tennis Men's Singles,Tennis,2012 Summer,2012,Summer,London
52838,None,ARG,Silver,Tennis Men's Singles,Tennis,2016 Summer,2016,Summer,Rio de Janeiro
52851,None,ESP,Silver,Canoeing Men's Kayak Doubles 500 metres,Canoeing,1980 Summer,1980,Summer,Moskva
52861,None,ARG,Silver,Sailing Mixed Three Person Keelboat,Sailing,1960 Summer,1960,Summer,Roma
52902,None,FRA,Bronze,Rowing Men's Coxless Fours,Rowing,1956 Summer,1956,Summer,Melbourne
52911,None,CAN,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1928 Winter,1928,Winter,Sankt Moritz
52926,None,AUS,Silver,Swimming Men's 4 x 100 metres Medley Relay,Swimming,2008 Summer,2008,Summer,Beijing
52928,None,USA,Silver,Athletics Men's Shot Put,Athletics,1948 Summer,1948,Summer,London
52942,None,AUS,Silver,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1984 Summer,1984,Summer,Los Angeles
52943,None,IRL,Gold,Athletics Men's 1500 metres,Athletics,1956 Summer,1956,Summer,Melbourne
52949,None,FRA,Gold,Rowing Men's Single Sculls,Rowing,1906 Summer,1906,Summer,Athina
52950,None,FRA,Bronze,Rowing Men's Coxed Pairs (1 kilometres),Rowing,1906 Summer,1906,Summer,Athina
52953,None,FRA,Silver,Rowing Men's Coxed Fours,Rowing,1906 Summer,1906,Summer,Athina
52959,None,FRA,Bronze,Rowing Men's Coxed Pairs (1 kilometres),Rowing,1906 Summer,1906,Summer,Athina
52962,None,FRA,Silver,Rowing Men's Coxed Fours,Rowing,1906 Summer,1906,Summer,Athina
52965,None,BEL,Gold,Boxing Men's Welterweight,Boxing,1924 Summer,1924,Summer,Paris
52977,None,FRA,Bronze,Canoeing Women's Kayak Doubles 500 metres,Canoeing,2008 Summer,2008,Summer,Beijing
52982,None,NED,Bronze,Fencing Men's Sabre Team,Fencing,1920 Summer,1920,Summer,Antwerpen
53008,None,BEL,Bronze,Football Men's Football,Football,1900 Summer,1900,Summer,Paris
53010,None,FRA,Gold,Water Polo Men's Water Polo,Water Polo,1924 Summer,1924,Summer,Paris
53014,None,FRA,Gold,Rowing Men's Coxed Fours,Rowing,1900 Summer,1900,Summer,Paris
53024,None,BUL,Bronze,Gymnastics Men's Individual All-Around,Gymnastics,1980 Summer,1980,Summer,Moskva
53029,None,BUL,Gold,Gymnastics Men's Horizontal Bar,Gymnastics,1980 Summer,1980,Summer,Moskva
53032,None,BUL,Silver,Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics,1996 Summer,1996,Summer,Atlanta
53033,None,BEL,Silver,Archery Men's Target Archery 28 metres Team,Archery,1920 Summer,1920,Summer,Antwerpen
53034,None,BEL,Gold,Archery Men's Target Archery 33 metres Team,Archery,1920 Summer,1920,Summer,Antwerpen
53035,None,BEL,Gold,Archery Men's Target Archery 50 metres Team,Archery,1920 Summer,1920,Summer,Antwerpen
53040,None,FRA,Silver,Swimming Men's 200 metres Backstroke,Swimming,1984 Summer,1984,Summer,Los Angeles
53051,None,FRA,Bronze,Athletics Men's 4 x 100 metres Relay,Athletics,1964 Summer,1964,Summer,Tokyo
53053,None,FRA,Bronze,Athletics Men's 4 x 100 metres Relay,Athletics,1968 Summer,1968,Summer,Mexico City
53055,None,CAN,Gold,Rowing Women's Coxed Eights,Rowing,1992 Summer,1992,Summer,Barcelona
53061,None,BEL,Bronze,Hockey Men's Hockey,Hockey,1920 Summer,1920,Summer,Antwerpen
53084,None,BEL,Bronze,Gymnastics Men's Team All-Around Swedish System,Gymnastics,1920 Summer,1920,Summer,Antwerpen
53100,None,ARG,Gold,Basketball Men's Basketball,Basketball,2004 Summer,2004,Summer,Athina
53101,None,ARG,Bronze,Basketball Men's Basketball,Basketball,2008 Summer,2008,Summer,Beijing
53106,None,ITA,Gold,Fencing Men's epee Team,Fencing,1952 Summer,1952,Summer,Helsinki
53107,None,ITA,Silver,Fencing Men's epee Individual,Fencing,1956 Summer,1956,Summer,Melbourne
53108,None,ITA,Gold,Fencing Men's epee Team,Fencing,1956 Summer,1956,Summer,Melbourne
53109,None,ITA,Gold,Fencing Men's epee Individual,Fencing,1960 Summer,1960,Summer,Roma
53110,None,ITA,Gold,Fencing Men's epee Team,Fencing,1960 Summer,1960,Summer,Roma
53112,None,ITA,Silver,Fencing Men's epee Team,Fencing,1964 Summer,1964,Summer,Tokyo
53126,None,ARG,Gold,Football Men's Football,Football,2004 Summer,2004,Summer,Athina
53129,None,BRA,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1980 Summer,1980,Summer,Moskva
53150,None,CUB,Gold,Baseball Men's Baseball,Baseball,1992 Summer,1992,Summer,Barcelona
53159,None,ARG,Silver,Football Men's Football,Football,1996 Summer,1996,Summer,Atlanta
53164,None,POR,Bronze,Judo Men's Half-Middleweight,Judo,2000 Summer,2000,Summer,Sydney
53170,None,MEX,Gold,Boxing Men's Flyweight,Boxing,1968 Summer,1968,Summer,Mexico City
53197,None,HUN,Silver,Handball Women's Handball,Handball,2000 Summer,2000,Summer,Sydney
53201,None,NED,Silver,Boxing Men's Light-Middleweight,Boxing,1992 Summer,1992,Summer,Barcelona
53203,None,YUG,Silver,Basketball Men's Basketball,Basketball,1976 Summer,1976,Summer,Montreal
53204,None,YUG,Gold,Basketball Men's Basketball,Basketball,1980 Summer,1980,Summer,Moskva
53227,None,FRA,Silver,Rowing Men's Coxed Fours,Rowing,1906 Summer,1906,Summer,Athina
53230,None,CUB,Bronze,Athletics Men's Discus Throw,Athletics,1980 Summer,1980,Summer,Moskva
53231,None,ITA,Gold,Rowing Men's Coxed Fours,Rowing,1928 Summer,1928,Summer,Amsterdam
53239,None,NED,Bronze,Hockey Men's Hockey,Hockey,1988 Summer,1988,Summer,Seoul
53241,None,NED,Gold,Hockey Men's Hockey,Hockey,1996 Summer,1996,Summer,Atlanta
53244,None,USA,Bronze,Rowing Women's Quadruple Sculls,Rowing,2012 Summer,2012,Summer,London
53265,None,ITA,Silver,Basketball Men's Basketball,Basketball,1980 Summer,1980,Summer,Moskva
53295,None,USA,Gold,Basketball Women's Basketball,Basketball,2016 Summer,2016,Summer,Rio de Janeiro
53319,None,USA,Bronze,Athletics Men's 5000 metres,Athletics,1964 Summer,1964,Summer,Tokyo
53321,None,USA,Bronze,Equestrianism Mixed Jumping Individual,Equestrianism,1992 Summer,1992,Summer,Barcelona
53332,None,NED,Gold,Hockey Men's Hockey,Hockey,1996 Summer,1996,Summer,Atlanta
53333,None,NED,Gold,Hockey Men's Hockey,Hockey,2000 Summer,2000,Summer,Sydney
53334,None,NED,Silver,Hockey Men's Hockey,Hockey,2004 Summer,2004,Summer,Athina
53336,None,GER,Bronze,Hockey Men's Hockey,Hockey,1956 Summer,1956,Summer,Melbourne
53338,None,HUN,Gold,Fencing Men's Sabre Team,Fencing,1960 Summer,1960,Summer,Roma
53341,None,USA,Bronze,Athletics Women's Long Jump,Athletics,2012 Summer,2012,Summer,London
53343,None,USA,Gold,Athletics Men's 200 metres,Athletics,1988 Summer,1988,Summer,Seoul
53348,None,GER,Bronze,Equestrianism Men's Jumping Team,Equestrianism,1912 Summer,1912,Summer,Stockholm
53350,None,FRA,Silver,Athletics Men's 1500 metres,Athletics,1900 Summer,1900,Summer,Paris
53351,None,FRA,Silver,Athletics Men's 5000 metres Team,Athletics,1900 Summer,1900,Summer,Paris
53356,None,BEL,Silver,Rowing Men's Double Sculls,Rowing,1984 Summer,1984,Summer,Los Angeles
53367,None,FRA,Gold,Fencing Men's epee Team,Fencing,1988 Summer,1988,Summer,Seoul
53374,None,BEL,Gold,Fencing Men's epee Individual,Fencing,1924 Summer,1924,Summer,Paris
53375,None,BEL,Silver,Fencing Men's epee Team,Fencing,1924 Summer,1924,Summer,Paris
53382,None,FRA,Silver,Fencing Men's Sabre Team,Fencing,1984 Summer,1984,Summer,Los Angeles
53388,None,FRA,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1920 Summer,1920,Summer,Antwerpen
53390,None,FRA,Silver,Gymnastics Men's Team All-Around,Gymnastics,1924 Summer,1924,Summer,Paris
53400,None,FRA,Bronze,Rowing Men's Coxed Pairs,Rowing,1900 Summer,1900,Summer,Paris
53406,None,FRA,Bronze,Athletics Men's 4 x 400 metres Relay,Athletics,1920 Summer,1920,Summer,Antwerpen
53419,None,JPN,Bronze,Volleyball Men's Volleyball,Volleyball,1964 Summer,1964,Summer,Tokyo
53422,None,FRA,Bronze,Gymnastics Men's Individual All-Around,Gymnastics,1900 Summer,1900,Summer,Paris
53423,None,FRA,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1920 Summer,1920,Summer,Antwerpen
53432,None,FRA,Silver,Cycling Men's Sprint,Cycling,1908 Summer,1908,Summer,London
53438,None,USA,Bronze,Athletics Men's Marathon,Athletics,1924 Summer,1924,Summer,Paris
53443,None,URU,Bronze,Basketball Men's Basketball,Basketball,1952 Summer,1952,Summer,Helsinki
53444,None,URU,Bronze,Basketball Men's Basketball,Basketball,1956 Summer,1956,Summer,Melbourne
53456,None,USA,Bronze,Cycling Women's Mountainbike Cross-Country,Cycling,1996 Summer,1996,Summer,Atlanta
53460,None,FRA,Silver,Handball Women's Handball,Handball,2016 Summer,2016,Summer,Rio de Janeiro
53465,None,POL,Bronze,Weightlifting Men's Bantamweight,Weightlifting,1980 Summer,1980,Summer,Moskva
53473,None,RUS,Silver,Luge Men's Singles,Luge,2006 Winter,2006,Winter,Torino
53475,None,RUS,Silver,Luge Men's Singles,Luge,2014 Winter,2014,Winter,Sochi
53476,None,RUS,Silver,Luge Mixed Team Relay,Luge,2014 Winter,2014,Winter,Sochi
53480,None,HUN,Silver,Canoeing Men's Kayak Doubles 1000 metres,Canoeing,1972 Summer,1972,Summer,Munich
53511,None,UKR,Gold,Rowing Women's Quadruple Sculls,Rowing,2012 Summer,2012,Summer,London
53514,None,RUS,Silver,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing,2006 Winter,2006,Winter,Torino
53515,None,RUS,Gold,Cross Country Skiing Men's 30 km Skiathlon,Cross Country Skiing,2006 Winter,2006,Winter,Torino
53517,None,RUS,Silver,Tennis Women's Singles,Tennis,2000 Summer,2000,Summer,Sydney
53520,None,RUS,Gold,Tennis Women's Singles,Tennis,2008 Summer,2008,Summer,Beijing
53521,None,URS,Gold,Canoeing Women's Kayak Singles 500 metres,Canoeing,1956 Summer,1956,Summer,Melbourne
53527,None,CAN,Silver,Weightlifting Men's Middleweight,Weightlifting,1984 Summer,1984,Summer,Los Angeles
53530,None,USA,Silver,Cycling Women's Individual Time Trial,Cycling,2004 Summer,2004,Summer,Athina
53554,None,ARG,Bronze,Rowing Men's Single Sculls,Rowing,1968 Summer,1968,Summer,Mexico City
53555,None,ARG,Silver,Rowing Men's Single Sculls,Rowing,1972 Summer,1972,Summer,Munich
53575,None,TUR,Gold,Wrestling Men's Super-Heavyweight Freestyle,Wrestling,1996 Summer,1996,Summer,Atlanta
53580,None,BUL,Silver,Athletics Women's High Jump,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
53600,None,TUR,Bronze,Wrestling Men's Middleweight Freestyle,Wrestling,2016 Summer,2016,Summer,Rio de Janeiro
53601,None,URS,Silver,Canoeing Men's Kayak Doubles 1000 metres,Canoeing,1956 Summer,1956,Summer,Melbourne
53615,None,FRG,Bronze,Luge Women's Singles,Luge,1976 Winter,1976,Winter,Innsbruck
53630,None,USA,Gold,Nordic Combined Men's Large Hill / 10 km Individual,Nordic Combined,2010 Winter,2010,Winter,Vancouver
53631,None,USA,Silver,Nordic Combined Men's Team,Nordic Combined,2010 Winter,2010,Winter,Vancouver
53640,None,FRA,Bronze,Judo Men's Middleweight,Judo,2000 Summer,2000,Summer,Sydney
53656,None,USA,Gold,Rowing Men's Coxed Eights,Rowing,1904 Summer,1904,Summer,St. Louis
53658,None,GBR,Bronze,Sailing Men's Windsurfer,Sailing,2004 Summer,2004,Summer,Athina
53660,None,GBR,Silver,Sailing Men's Windsurfer,Sailing,2012 Summer,2012,Summer,London
53661,None,GBR,Silver,Sailing Men's Windsurfer,Sailing,2016 Summer,2016,Summer,Rio de Janeiro
53672,None,USA,Silver,Athletics Women's 400 metres Hurdles,Athletics,2012 Summer,2012,Summer,London
53677,None,AZE,Silver,Canoeing Men's Canadian Singles 200 metres,Canoeing,2016 Summer,2016,Summer,Rio de Janeiro
53678,None,URS,Silver,Boxing Men's Lightweight,Boxing,1980 Summer,1980,Summer,Moskva
53679,None,EUN,Bronze,Wrestling Men's Heavyweight Greco-Roman,Wrestling,1992 Summer,1992,Summer,Barcelona
53693,None,NED,Gold,Cycling Men's 100 kilometres Team Time Trial,Cycling,1968 Summer,1968,Summer,Mexico City
53697,None,NED,Silver,Swimming Women's 100 metres Freestyle,Swimming,1932 Summer,1932,Summer,Los Angeles
53698,None,NED,Silver,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1932 Summer,1932,Summer,Los Angeles
53700,None,NED,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1936 Summer,1936,Summer,Berlin
53707,None,BEL,Silver,Hockey Men's Hockey,Hockey,2016 Summer,2016,Summer,Rio de Janeiro
53711,None,AUS,Bronze,Shooting Women's Sporting Pistol 25 metres,Shooting,1984 Summer,1984,Summer,Los Angeles
53715,None,URS,Silver,Swimming Women's 200 metres Individual Medley,Swimming,1988 Summer,1988,Summer,Seoul
53728,None,FRA,Gold,Alpine Skiing Men's Downhill,Alpine Skiing,2006 Winter,2006,Winter,Torino
53752,None,CHN,Gold,Gymnastics Women's Team All-Around,Gymnastics,2008 Summer,2008,Summer,Beijing
53760,None,CHN,Gold,Gymnastics Women's Balance Beam,Gymnastics,2012 Summer,2012,Summer,London
53764,None,CHN,Bronze,Gymnastics Men's Team All-Around,Gymnastics,2016 Summer,2016,Summer,Rio de Janeiro
53772,None,CHN,Gold,Weightlifting Women's Middleweight,Weightlifting,2016 Summer,2016,Summer,Rio de Janeiro
53775,None,CHN,Gold,Table Tennis Women's Singles,Table Tennis,1992 Summer,1992,Summer,Barcelona
53776,None,CHN,Gold,Table Tennis Women's Doubles,Table Tennis,1992 Summer,1992,Summer,Barcelona
53777,None,CHN,Gold,Table Tennis Women's Singles,Table Tennis,1996 Summer,1996,Summer,Atlanta
53778,None,CHN,Gold,Table Tennis Women's Doubles,Table Tennis,1996 Summer,1996,Summer,Atlanta
53805,None,NED,Bronze,Football Men's Football,Football,1920 Summer,1920,Summer,Antwerpen
53816,None,RUS,Bronze,Taekwondo Men's Flyweight,Taekwondo,2012 Summer,2012,Summer,London
53817,None,RUS,Silver,Taekwondo Men's Featherweight,Taekwondo,2016 Summer,2016,Summer,Rio de Janeiro
53822,None,URS,Silver,Canoeing Men's Kayak Doubles 500 metres,Canoeing,1988 Summer,1988,Summer,Seoul
53823,None,URS,Silver,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1988 Summer,1988,Summer,Seoul
53829,None,URS,Silver,Fencing Men's Foil Team,Fencing,1972 Summer,1972,Summer,Munich
53834,None,RUS,Silver,Luge Mixed Team Relay,Luge,2014 Winter,2014,Winter,Sochi
53835,None,USA,Silver,Athletics Women's Discus Throw,Athletics,1984 Summer,1984,Summer,Los Angeles
53847,None,AUS,Silver,Swimming Women's 4 x 100 metres Medley Relay,Swimming,1996 Summer,1996,Summer,Atlanta
53872,None,AUS,Gold,Swimming Women's 200 metres Breaststroke,Swimming,1932 Summer,1932,Summer,Los Angeles
53881,None,AUS,Silver,Cycling Men's Team Pursuit 4000 metres,Cycling,2012 Summer,2012,Summer,London
53884,None,GBR,Gold,Rowing Men's Coxed Eights,Rowing,2000 Summer,2000,Summer,Sydney
53888,None,GBR,Bronze,Hockey Men's Hockey,Hockey,1908 Summer,1908,Summer,London
53892,None,GBR,Silver,Cycling Men's 100 kilometres,Cycling,1908 Summer,1908,Summer,London
53897,None,AUS,Bronze,Triathlon Women's Olympic Distance,Triathlon,2012 Summer,2012,Summer,London
53904,None,ITA,Bronze,Rowing Men's Coxless Fours,Rowing,2004 Summer,2004,Summer,Athina
53908,None,USA,Silver,Gymnastics Men's Rings,Gymnastics,1932 Summer,1932,Summer,Los Angeles
53944,None,USA,Gold,Weightlifting Men's Bantamweight,Weightlifting,1948 Summer,1948,Summer,London
53962,None,URS,Bronze,Hockey Men's Hockey,Hockey,1980 Summer,1980,Summer,Moskva
53974,None,GBR,Bronze,Swimming Men's 4 x 250 metres Freestyle Relay,Swimming,1906 Summer,1906,Summer,Athina
53976,None,GBR,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1908 Summer,1908,Summer,London
53980,None,NED,Bronze,Canoeing Women's Kayak Singles 500 metres,Canoeing,1984 Summer,1984,Summer,Los Angeles
53981,None,NED,Bronze,Canoeing Women's Kayak Doubles 500 metres,Canoeing,1988 Summer,1988,Summer,Seoul
53982,None,NED,Bronze,Hockey Men's Hockey,Hockey,1948 Summer,1948,Summer,London
53983,None,NED,Silver,Hockey Men's Hockey,Hockey,1952 Summer,1952,Summer,Helsinki
53988,None,FRA,Silver,Basketball Men's Basketball,Basketball,1948 Summer,1948,Summer,London
54010,None,YUG,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1928 Summer,1928,Summer,Amsterdam
54011,None,YUG,Bronze,Gymnastics Men's Horse Vault,Gymnastics,1928 Summer,1928,Summer,Amsterdam
54023,None,USA,Silver,Modern Pentathlon Women's Individual,Modern Pentathlon,2000 Summer,2000,Summer,Sydney
54025,None,RUS,Silver,Fencing Women's Foil Team,Fencing,2012 Summer,2012,Summer,London
54026,None,RUS,Gold,Fencing Women's Foil Individual,Fencing,2016 Summer,2016,Summer,Rio de Janeiro
54029,None,NED,Silver,Hockey Men's Hockey,Hockey,2004 Summer,2004,Summer,Athina
54031,None,NED,Silver,Hockey Men's Hockey,Hockey,2004 Summer,2004,Summer,Athina
54033,None,URS,Bronze,Basketball Men's Basketball,Basketball,1980 Summer,1980,Summer,Moskva
54035,None,URS,Gold,Modern Pentathlon Men's Team,Modern Pentathlon,1956 Summer,1956,Summer,Melbourne
54050,None,NED,Silver,Rowing Men's Coxed Eights,Rowing,2004 Summer,2004,Summer,Athina
54057,None,BUL,Silver,Basketball Women's Basketball,Basketball,1980 Summer,1980,Summer,Moskva
54076,None,USA,Gold,Basketball Men's Basketball,Basketball,2016 Summer,2016,Summer,Rio de Janeiro
54082,None,USA,Bronze,Short Track Speed Skating Women's 3000 metres Relay,Short Track Speed Skating,2010 Winter,2010,Winter,Vancouver
54084,None,FRA,Gold,Sailing Mixed 8 metres,Sailing,1928 Summer,1928,Summer,Amsterdam
54087,None,USA,Gold,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1992 Summer,1992,Summer,Barcelona
54091,None,ROU,Bronze,Fencing Women's Foil Team,Fencing,1968 Summer,1968,Summer,Mexico City
54093,None,ROU,Bronze,Fencing Women's Foil Team,Fencing,1972 Summer,1972,Summer,Munich
54112,None,EUN,Bronze,Handball Women's Handball,Handball,1992 Summer,1992,Summer,Barcelona
54133,None,FRA,Bronze,Shooting Men's Free Pistol 50 metres,Shooting,1936 Summer,1936,Summer,Berlin
54144,None,FRA,Silver,Basketball Men's Basketball,Basketball,1948 Summer,1948,Summer,London
54145,None,GBR,Silver,Fencing Men's epee Team,Fencing,1906 Summer,1906,Summer,Athina
54148,None,USA,Bronze,Athletics Men's 400 metres Hurdles,Athletics,1920 Summer,1920,Summer,Antwerpen
54171,None,GBR,Bronze,Athletics Women's 4 x 100 metres Relay,Athletics,1952 Summer,1952,Summer,Helsinki
54181,None,IND,Gold,Hockey Men's Hockey,Hockey,1952 Summer,1952,Summer,Helsinki
54188,None,USA,Silver,Diving Men's Springboard,Diving,1924 Summer,1924,Summer,Paris
54190,None,USA,Gold,Diving Men's Springboard,Diving,1928 Summer,1928,Summer,Amsterdam
54191,None,USA,Gold,Diving Men's Platform,Diving,1928 Summer,1928,Summer,Amsterdam
54214,None,CAN,Gold,Athletics Men's 56-pound Weight Throw,Athletics,1904 Summer,1904,Summer,St. Louis
54231,None,FRA,Gold,Water Polo Men's Water Polo,Water Polo,1924 Summer,1924,Summer,Paris
54234,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1952 Winter,1952,Winter,Oslo
54235,None,GBR,Bronze,Gymnastics Women's Team All-Around,Gymnastics,1928 Summer,1928,Summer,Amsterdam
54245,None,CUB,Silver,Baseball Men's Baseball,Baseball,2008 Summer,2008,Summer,Beijing
