1,"""Cats"" 1981 Original London Cast",0.5985,0.4701000000000001,267072.0,0.3762030000000001,-14.434300000000002,0.20915,114.1288,0.35831999999999997,38.2
2,"""Cats"" 1983 Broadway Cast",0.8625384615384616,0.4417307692307693,287280.0,0.40680769230769226,-10.69,0.17621153846153847,103.04415384615385,0.26886538461538456,31.538461538461537
3,"""Fiddler On The Roof” Motion Picture Chorus",0.8565714285714285,0.34828571428571425,328920.0,0.2865714285714285,-15.230714285714285,0.1185142857142857,77.37585714285714,0.3548571428571429,34.57142857142857
4,"""Fiddler On The Roof” Motion Picture Orchestra",0.884925925925926,0.4250740740740739,262890.96296296304,0.2457703703703704,-15.639370370370367,0.12320000000000005,88.66762962962964,0.3720296296296296,34.407407407407405
5,"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.5107142857142857,0.4671428571428572,270436.14285714284,0.4882857142857143,-10.236714285714287,0.09854285714285717,122.83585714285714,0.4822857142857143,42.0
6,"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.5911666666666667,0.4843333333333333,218504.5,0.30060833333333337,-18.5795,0.1049583333333333,122.51783333333334,0.4244999999999999,33.166666666666664
7,"""Mama"" Helen Teagarden",0.725,0.637,135533.0,0.512,-20.615,0.21,134.819,0.885,0.0
8,"""Test for Victor Young""",0.927,0.7340000000000001,175693.0,0.474,-10.544,0.256,132.78799999999998,0.902,3.0
9,"""Weird Al"" Yankovic",0.1868205660377359,0.6507924528301889,218352.96226415093,0.6931886792452833,-9.691150943396226,0.08227547169811322,132.87660377358483,0.7645849056603775,32.867924528301884
10,$0dg0d,0.11,0.732,160171.0,0.8220000000000001,-5.3870000000000005,0.155,141.94799999999995,0.74,0.0
11,$NOT,0.4581666666666666,0.8266666666666668,146886.33333333337,0.5186666666666667,-8.713166666666668,0.27255,90.72883333333333,0.42675,74.16666666666667
12,$atori Zoom,0.239,0.883,141519.0,0.625,-4.098,0.245,126.677,0.871,69.0
13,$tar$eed,0.0375,0.923,130375.0,0.172,-15.646,0.385,100.046,0.17600000000000002,0.0
14,$uicideBoy$,0.15463710144927542,0.7785507246376814,149915.28985507245,0.6258695652173915,-6.553898550724632,0.1499855072463768,117.67908695652172,0.2427724637681159,65.33333333333333
15,'In The Heights' Original Broadway Company,0.6266666666666666,0.547,387293.66666666674,0.39266666666666666,-8.348666666666666,0.3121,171.16766666666663,0.5093333333333333,52.0
16,'Legally Blonde' Ensemble,0.598,0.6296666666666667,208493.66666666663,0.5099999999999999,-10.526666666666667,0.6076666666666667,95.09033333333336,0.5163333333333333,51.66666666666666
17,'Til Tuesday,0.10555625,0.557125,255213.5,0.61225,-9.638125,0.03215,103.08025000000002,0.532625,33.875
18,((( O ))),0.847,0.41,311837.0,0.16899999999999998,-11.422,0.0485,89.494,0.208,66.0
19,(Con La Participación de Marc Anthony),0.5379999999999999,0.731,361440.0,0.794,-4.182,0.0408,88.00299999999999,0.873,42.0
20,(EM),0.446,0.462,221832.0,0.542,-9.161,0.0308,99.403,0.547,4.0
21,(G)I-DLE,0.026794,0.534,193085.6,0.8298,-3.9508,0.06104,130.4178,0.35340000000000005,76.6
22,(Hed) P.E.,0.005993333333333334,0.5936666666666667,261253.33333333328,0.8956666666666667,-5.1629999999999985,0.09523333333333334,110.925,0.413,45.33333333333334
23,*NSYNC,0.1848550424242424,0.6002525252525255,234698.4848484849,0.6972222222222219,-6.3865555555555575,0.05444646464646466,116.97407070707077,0.5569898989898988,46.04040404040404
24,*spandrel,0.897,0.513,236644.0,0.642,-14.456,0.3670000000000001,107.057,0.302,0.0
25,+44,0.000367,0.416,192787.0,0.967,-2.289,0.109,171.032,0.431,53.0
26,-Sd-,0.0106,0.88,451765.0,0.494,-7.632999999999999,0.183,136.031,0.261,0.0
27,...And You Will Know Us by the Trail of Dead,0.008409999999999999,0.255,273624.0,0.858,-5.085,0.0694,144.653,0.237,36.0
28,.ex-machina.,0.00275,0.5429999999999999,228206.0,0.956,-4.288,0.0457,120.094,0.722,0.0
29,//Tense//,4.68e-05,0.7040000000000001,326632.0,0.8440000000000001,-9.378,0.0308,123.011,0.6559999999999999,1.0
30,015B,0.4752758620689655,0.6240000000000001,234111.1379310345,0.5647931034482759,-5.962413793103447,0.06602758620689653,112.89189655172414,0.4378965517241379,15.20689655172414
31,03 Greedo,0.14492,0.6446000000000001,244528.8,0.526,-9.2822,0.06656000000000001,83.8978,0.35679999999999995,66.0
32,070 Shake,0.0114,0.696,398106.0,0.667,-7.665,0.0407,121.932,0.287,62.0
33,10 Ft. Ganja Plant,0.195,0.7859999999999999,277307.0,0.752,-2.859,0.0387,136.578,0.925,49.0
34,10 Years,0.001100666666666667,0.452,213866.66666666663,0.7863333333333332,-4.567333333333333,0.0472,145.14166666666668,0.2580000000000001,57.66666666666666
35,"10,000 Maniacs",0.18243352941176474,0.5880000000000001,235077.5294117647,0.5565058823529412,-13.217764705882347,0.03901764705882353,115.60611764705885,0.6161764705882353,37.882352941176464
36,100 First Songs' Participants,0.682,0.6759999999999999,53000.0,0.36,-15.708,0.281,132.45,0.593,34.0
37,100 gecs,0.13086000000000006,0.6257999999999999,128980.4,0.6900000000000001,-5.9724,0.15116000000000002,108.326,0.7418,67.4
38,101 Strings Orchestra,0.5975607692307693,0.270423076923077,191426.23076923078,0.3878461538461538,-13.582384615384614,0.037592307692307696,103.51823076923077,0.31587692307692306,20.923076923076927
39,1011 - TEN-ELEVEN,0.74,0.6679999999999999,252027.0,0.436,-7.04,0.0315,128.135,0.316,18.0
