225,Monica Cecilia Abbott,USA,Silver,Softball Women's Softball,Softball,2008 Summer,2008,Summer,Beijing
238,Nia Nicole Abdallah,USA,Silver,Taekwondo Women's Featherweight,Taekwondo,2004 Summer,2004,Summer,Athina
307,Saeid Morad Abdevali,IRI,Bronze,Wrestling Men's Middleweight Greco-Roman,Wrestling,2016 Summer,2016,Summer,Rio de Janeiro
325,Reema Abdo,CAN,Bronze,Swimming Women's 4 x 100 metres Medley Relay,Swimming,1984 Summer,1984,Summer,Los Angeles
360,Lala Abdul Rashid,PAK,Gold,Hockey Men's Hockey,Hockey,1960 Summer,1960,Summer,Roma
361,Muhammad Abdul Rashid,PAK,Silver,Hockey Men's Hockey,Hockey,1964 Summer,1964,Summer,Tokyo
374,Zagalav Abdulbekovich Abdulbekov,URS,Gold,Wrestling Men's Featherweight Freestyle,Wrestling,1972 Summer,1972,Summer,Munich
391,Mukhammad Kadyr Abdullayev,UZB,Gold,Boxing Men's Light-Welterweight,Boxing,2000 Summer,2000,Summer,Sydney
394,Namiq Yadulla Abdullayev,AZE,Silver,Wrestling Men's Flyweight Freestyle,Wrestling,1996 Summer,1996,Summer,Atlanta
395,Namiq Yadulla Abdullayev,AZE,Gold,Wrestling Men's Bantamweight Freestyle,Wrestling,2000 Summer,2000,Summer,Sydney
412,Julius Shareef Abdur-Rahim,USA,Gold,Basketball Men's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
420,Yusup Abdusalomov,TJK,Silver,Wrestling Men's Light-Heavyweight Freestyle,Wrestling,2008 Summer,2008,Summer,Beijing
422,Andrey Khakimovich Abduvaliyev,EUN,Gold,Athletics Men's Hammer Throw,Athletics,1992 Summer,1992,Summer,Barcelona
438,Masashi Abe,JPN,Gold,Nordic Combined Men's Team,Nordic Combined,1994 Winter,1994,Winter,Lillehammer
455,Addis Abebe,ETH,Bronze,Athletics Men's 10000 metres,Athletics,1992 Summer,1992,Summer,Barcelona
466,Clarence John Abel,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1924 Winter,1924,Winter,Chamonix
470,Irene Abel,GDR,Silver,Gymnastics Women's Team All-Around,Gymnastics,1972 Summer,1972,Summer,Munich
477,Jennifer Abel,CAN,Bronze,Diving Women's Synchronized Springboard,Diving,2012 Summer,2012,Summer,London
497,Gezahgne Abera,ETH,Gold,Athletics Men's Marathon,Athletics,2000 Summer,2000,Summer,Sydney
503,Nils Georg berg,SWE,Bronze,Athletics Men's Long Jump,Athletics,1912 Summer,1912,Summer,Stockholm
504,Nils Georg berg,SWE,Silver,Athletics Men's Triple Jump,Athletics,1912 Summer,1912,Summer,Stockholm
514,Michael Brent Abernathy,USA,Gold,Baseball Men's Baseball,Baseball,2000 Summer,2000,Summer,Sydney
518,Elvan Abeylegesse,TUR,Silver,Athletics Women's 5000 metres,Athletics,2008 Summer,2008,Summer,Beijing
539,Ismail Abilov (-Nizamolu),BUL,Gold,Wrestling Men's Middleweight Freestyle,Wrestling,1980 Summer,1980,Summer,Moskva
553,Edgar Allen "Ed" Ablowich,USA,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1932 Summer,1932,Summer,Los Angeles
555,Denis Mikhaylovich Ablyazin,RUS,Bronze,Gymnastics Men's Floor Exercise,Gymnastics,2012 Summer,2012,Summer,London
556,Denis Mikhaylovich Ablyazin,RUS,Silver,Gymnastics Men's Horse Vault,Gymnastics,2012 Summer,2012,Summer,London
560,Denis Mikhaylovich Ablyazin,RUS,Silver,Gymnastics Men's Team All-Around,Gymnastics,2016 Summer,2016,Summer,Rio de Janeiro
562,Denis Mikhaylovich Ablyazin,RUS,Silver,Gymnastics Men's Horse Vault,Gymnastics,2016 Summer,2016,Summer,Rio de Janeiro
563,Denis Mikhaylovich Ablyazin,RUS,Bronze,Gymnastics Men's Rings,Gymnastics,2016 Summer,2016,Summer,Rio de Janeiro
569,Viktor Andreyevich Aboimov,URS,Silver,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1972 Summer,1972,Summer,Munich
570,Viktor Andreyevich Aboimov,URS,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1972 Summer,1972,Summer,Munich
580,Matthew "Matt" Abood,AUS,Bronze,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
608,Alaaeldin Ahmad El-Sayyid Abouelkassem,EGY,Silver,Fencing Men's Foil Individual,Fencing,2012 Summer,2012,Summer,London
617,Attila brahm,HUN,Bronze,Canoeing Men's Kayak Doubles 500 metres,Canoeing,1988 Summer,1988,Summer,Seoul
618,Attila brahm,HUN,Gold,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1988 Summer,1988,Summer,Seoul
619,Attila brahm,HUN,Silver,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1992 Summer,1992,Summer,Barcelona
624,Gary Abraham,GBR,Bronze,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1980 Summer,1980,Summer,Moskva
635,Ara Abrahamian,SWE,Silver,Wrestling Men's Light-Heavyweight Greco-Roman,Wrestling,2004 Summer,2004,Summer,Athina
646,Harold Maurice Abrahams,GBR,Gold,Athletics Men's 100 metres,Athletics,1924 Summer,1924,Summer,Paris
648,Harold Maurice Abrahams,GBR,Silver,Athletics Men's 4 x 100 metres Relay,Athletics,1924 Summer,1924,Summer,Paris
655,Erik Adolf Efraim Abrahamsson,SWE,Bronze,Athletics Men's Long Jump,Athletics,1920 Summer,1920,Summer,Antwerpen
690,Pavel Sergeyevich Abramov,RUS,Bronze,Volleyball Men's Volleyball,Volleyball,2004 Summer,2004,Summer,Athina
695,Nelli Mikhaylovna Abramova,URS,Silver,Volleyball Women's Volleyball,Volleyball,1964 Summer,1964,Summer,Tokyo
698,Yekaterina Konstantinovna Abramova,RUS,Bronze,Speed Skating Women's Team Pursuit (6 laps),Speed Skating,2006 Winter,2006,Winter,Torino
747,Alejandro "lex" Abrines Redondo,ESP,Bronze,Basketball Men's Basketball,Basketball,2016 Summer,2016,Summer,Rio de Janeiro
751,Svetlana Olegovna Abrosimova,RUS,Bronze,Basketball Women's Basketball,Basketball,2008 Summer,2008,Summer,Beijing
752,Saypulla Atavovich Absaidov,URS,Gold,Wrestling Men's Lightweight Freestyle,Wrestling,1980 Summer,1980,Summer,Moskva
753,Julien Absalon,FRA,Gold,Cycling Men's Mountainbike Cross-Country,Cycling,2004 Summer,2004,Summer,Athina
754,Julien Absalon,FRA,Gold,Cycling Men's Mountainbike Cross-Country,Cycling,2008 Summer,2008,Summer,Beijing
783,Ahmad Abughaush,JOR,Gold,Taekwondo Men's Featherweight,Taekwondo,2016 Summer,2016,Summer,Rio de Janeiro
792,Ginko Abukawa-Chiba,JPN,Bronze,Gymnastics Women's Team All-Around,Gymnastics,1964 Summer,1964,Summer,Tokyo
808,Aleksandr Veniaminovich Abushakhmetov,URS,Bronze,Fencing Men's epee Team,Fencing,1980 Summer,1980,Summer,Moskva
809,Magomedgasan Mingazhutdinovich Abushev,URS,Gold,Wrestling Men's Featherweight Freestyle,Wrestling,1980 Summer,1980,Summer,Moskva
819,Andreea Roxana Acatrinei,ROU,Bronze,Gymnastics Women's Team All-Around,Gymnastics,2008 Summer,2008,Summer,Beijing
824,William Accambray,FRA,Gold,Handball Men's Handball,Handball,2012 Summer,2012,Summer,London
828,Paul Accola,SUI,Bronze,Alpine Skiing Men's Combined,Alpine Skiing,1988 Winter,1988,Winter,Calgary
849,Anibl Santiago Acevedo,PUR,Bronze,Boxing Men's Welterweight,Boxing,1992 Summer,1992,Summer,Barcelona
859,Daniel Aceves Villagrn,MEX,Silver,Wrestling Men's Flyweight Greco-Roman,Wrestling,1984 Summer,1984,Summer,Los Angeles
875,Joachim Yaw Acheampong,GHA,Bronze,Football Men's Football,Football,1992 Summer,1992,Summer,Barcelona
876,Alfred Achermann,SUI,Silver,Cycling Men's 100 kilometres Team Time Trial,Cycling,1984 Summer,1984,Summer,Los Angeles
880,Abdel Hak Achik,MAR,Bronze,Boxing Men's Featherweight,Boxing,1988 Summer,1988,Summer,Seoul
882,Mohamed Abdelhak Achik,MAR,Bronze,Boxing Men's Bantamweight,Boxing,1992 Summer,1992,Summer,Barcelona
892,Rita Nikolayevna Achkina,URS,Bronze,Cross Country Skiing Women's 3 x 5 kilometres Relay,Cross Country Skiing,1968 Winter,1968,Winter,Grenoble
908,Chantal Achterberg,NED,Bronze,Rowing Women's Coxed Eights,Rowing,2012 Summer,2012,Summer,London
909,Chantal Achterberg,NED,Silver,Rowing Women's Quadruple Sculls,Rowing,2016 Summer,2016,Summer,Rio de Janeiro
916,Paul Douglas Ackerley,NZL,Gold,Hockey Men's Hockey,Hockey,1976 Summer,1976,Summer,Montreal
921,Ronny Ackermann,GER,Silver,Nordic Combined Men's Team,Nordic Combined,2002 Winter,2002,Winter,Salt Lake City
923,Ronny Ackermann,GER,Silver,Nordic Combined Men's Sprint,Nordic Combined,2002 Winter,2002,Winter,Salt Lake City
924,Ronny Ackermann,GER,Silver,Nordic Combined Men's Team,Nordic Combined,2006 Winter,2006,Winter,Torino
929,Donat Acklin,SUI,Gold,Bobsleigh Men's Two,Bobsleigh,1992 Winter,1992,Winter,Albertville
930,Donat Acklin,SUI,Bronze,Bobsleigh Men's Four,Bobsleigh,1992 Winter,1992,Winter,Albertville
931,Donat Acklin,SUI,Gold,Bobsleigh Men's Two,Bobsleigh,1994 Winter,1994,Winter,Lillehammer
932,Donat Acklin,SUI,Silver,Bobsleigh Men's Four,Bobsleigh,1994 Winter,1994,Winter,Lillehammer
933,Guido Acklin,SUI,Silver,Bobsleigh Men's Two,Bobsleigh,1994 Winter,1994,Winter,Lillehammer
947,Lautaro Germn Acosta,ARG,Gold,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
954,Osmay Acosta Duarte,CUB,Bronze,Boxing Men's Heavyweight,Boxing,2008 Summer,2008,Summer,Beijing
977,Kazimierz Piotr Adach,POL,Bronze,Boxing Men's Lightweight,Boxing,1980 Summer,1980,Summer,Moskva
997,Ji Adam,TCH,Silver,Modern Pentathlon Men's Team,Modern Pentathlon,1976 Summer,1976,Summer,Montreal
1007,Michael B. "Mike" Adam,CAN,Gold,Curling Men's Curling,Curling,2006 Winter,2006,Winter,Torino
1023,Dariusz Adamczuk,POL,Silver,Football Men's Football,Football,1992 Summer,1992,Summer,Barcelona
1078,Benjamin Willard "Ben" Adams,USA,Silver,Athletics Men's Standing High Jump,Athletics,1912 Summer,1912,Summer,Stockholm
1079,Benjamin Willard "Ben" Adams,USA,Bronze,Athletics Men's Standing Long Jump,Athletics,1912 Summer,1912,Summer,Stockholm
1098,Adrian Neil Adams,GBR,Silver,Judo Men's Lightweight,Judo,1980 Summer,1980,Summer,Moskva
1099,Adrian Neil Adams,GBR,Silver,Judo Men's Half-Middleweight,Judo,1984 Summer,1984,Summer,Los Angeles
1101,Nicola Virginia Adams,GBR,Gold,Boxing Women's Flyweight,Boxing,2012 Summer,2012,Summer,London
1102,Nicola Virginia Adams,GBR,Gold,Boxing Women's Flyweight,Boxing,2016 Summer,2016,Summer,Rio de Janeiro
1118,Platt Adams,USA,Gold,Athletics Men's Standing High Jump,Athletics,1912 Summer,1912,Summer,Stockholm
1119,Platt Adams,USA,Silver,Athletics Men's Standing Long Jump,Athletics,1912 Summer,1912,Summer,Stockholm
1121,Rachael Alexis Adams,USA,Bronze,Volleyball Women's Volleyball,Volleyball,2016 Summer,2016,Summer,Rio de Janeiro
1126,Victoria "Vicki" Adams,GBR,Bronze,Curling Women's Curling,Curling,2014 Winter,2014,Winter,Sochi
1131,Valerie Kasanita Adams-Vili (-Price),NZL,Gold,Athletics Women's Shot Put,Athletics,2008 Summer,2008,Summer,Beijing
1132,Valerie Kasanita Adams-Vili (-Price),NZL,Gold,Athletics Women's Shot Put,Athletics,2012 Summer,2012,Summer,London
1133,Valerie Kasanita Adams-Vili (-Price),NZL,Silver,Athletics Women's Shot Put,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
1137,Filip Kamil Adamski,GER,Gold,Rowing Men's Coxed Eights,Rowing,2012 Summer,2012,Summer,London
1138,Jerzy Adamski,POL,Silver,Boxing Men's Featherweight,Boxing,1960 Summer,1960,Summer,Roma
1167,Simon Addo,GHA,Bronze,Football Men's Football,Football,1992 Summer,1992,Summer,Barcelona
1200,Olubayo Adefemi,NGR,Silver,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
1218,Ayodele "Dele" Adeleye,NGR,Silver,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
1227,Ademir Roque Kaefer,BRA,Silver,Football Men's Football,Football,1984 Summer,1984,Summer,Los Angeles
1228,Ademir Roque Kaefer,BRA,Silver,Football Men's Football,Football,1988 Summer,1988,Summer,Seoul
1241,Olapade Charles Adeniken,NGR,Silver,Athletics Men's 4 x 100 metres Relay,Athletics,1992 Summer,1992,Summer,Barcelona
1244,Adenzia Aparecida Ferreira da Silva,BRA,Gold,Volleyball Women's Volleyball,Volleyball,2012 Summer,2012,Summer,London
1278,Franck Adisson,FRA,Bronze,Canoeing Men's Canadian Doubles Slalom,Canoeing,1992 Summer,1992,Summer,Barcelona
1279,Franck Adisson,FRA,Gold,Canoeing Men's Canadian Doubles Slalom,Canoeing,1996 Summer,1996,Summer,Atlanta
1282,Richard "Richy"  Adjei,GER,Silver,Bobsleigh Men's Two,Bobsleigh,2010 Winter,2010,Winter,Vancouver
1287,Derrick Ralph Adkins,USA,Gold,Athletics Men's 400 metres Hurdles,Athletics,1996 Summer,1996,Summer,Atlanta
1291,Daniel Adler,BRA,Silver,Sailing Mixed Three Person Keelboat,Sailing,1984 Summer,1984,Summer,Los Angeles
1295,Egon Adler,GER,Silver,Cycling Men's 100 kilometres Team Time Trial,Cycling,1960 Summer,1960,Summer,Roma
1310,Rebecca "Becky" Adlington,GBR,Gold,Swimming Women's 400 metres Freestyle,Swimming,2008 Summer,2008,Summer,Beijing
1311,Rebecca "Becky" Adlington,GBR,Gold,Swimming Women's 800 metres Freestyle,Swimming,2008 Summer,2008,Summer,Beijing
1312,Rebecca "Becky" Adlington,GBR,Bronze,Swimming Women's 400 metres Freestyle,Swimming,2012 Summer,2012,Summer,London
1313,Rebecca "Becky" Adlington,GBR,Bronze,Swimming Women's 800 metres Freestyle,Swimming,2012 Summer,2012,Summer,London
1336,Dainius Adomaitis,LTU,Bronze,Basketball Men's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
1359,Nathan Ghar-Jun Adrian,USA,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2008 Summer,2008,Summer,Beijing
1360,Nathan Ghar-Jun Adrian,USA,Gold,Swimming Men's 100 metres Freestyle,Swimming,2012 Summer,2012,Summer,London
1361,Nathan Ghar-Jun Adrian,USA,Silver,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2012 Summer,2012,Summer,London
1362,Nathan Ghar-Jun Adrian,USA,Gold,Swimming Men's 4 x 100 metres Medley Relay,Swimming,2012 Summer,2012,Summer,London
1363,Nathan Ghar-Jun Adrian,USA,Bronze,Swimming Men's 50 metres Freestyle,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
1364,Nathan Ghar-Jun Adrian,USA,Bronze,Swimming Men's 100 metres Freestyle,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
1365,Nathan Ghar-Jun Adrian,USA,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
1366,Nathan Ghar-Jun Adrian,USA,Gold,Swimming Men's 4 x 100 metres Medley Relay,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
1372,Adriana Aparecida dos Santos,BRA,Silver,Basketball Women's Basketball,Basketball,1996 Summer,1996,Summer,Atlanta
